Product_URL,Brand,Description,Id_Product,URL_image,Category_by_gender,Discount Price (in Rs.),Original Price (in Rs.),Color
https://www.ajio.com/puma-logo-print-t-shirt-with-crew-neck/p/469019704_black,puma,Logo Print T-shirt with Crew-Neck,4.69E+11,https://assets.ajio.com/medias/sys_master/root/20211014/eLaw/61682645aeb269011092a605/-286Wx359H-469019704-black-MODEL.jpg,Men,600,"1,499",black
https://www.ajio.com/dnmx-printed-skinny-shorts-with-insert-pockets/p/441124703_khaki,dnmx,Printed Skinny Shorts with Insert Pockets,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210720/iXsL/60f6f98cf997ddb3122f436d/-286Wx359H-441124703-khaki-MODEL.jpg,Men,441,899,khaki
https://www.ajio.com/dnmx-polo-t-shirt-with-signature-branding/p/440762638_coral,dnmx,Polo T-shirt with Signature Branding,4.41E+11,https://assets.ajio.com/medias/sys_master/root/hc9/h5f/10247840628766/-286Wx359H-440762638-coral-OUTFIT.jpg,Men,399,499,coral
https://www.ajio.com/dnmx-knitted-crew-neck-pullover/p/441125578_mustard,dnmx,Knitted Crew-Neck Pullover,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210824/xrzR/6123fd5a7cdb8cb82402a785/-286Wx359H-441125578-mustard-MODEL.jpg,Men,624,"1,299",mustard
https://www.ajio.com/dnmx-checked-cotton-shirt-with-patch-pocket/p/441116849_mediumblue,dnmx,Checked Cotton Shirt with Patch Pocket,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210722/CNch/60f8702ef997ddb31230c747/-286Wx359H-441116849-mediumblue-MODEL.jpg,Men,480,999,mediumblue
https://www.ajio.com/the-indian-garage-co-lightly-washed-slim-fit-jeans/p/460733303_blue,the-indian-garage-co,Lightly Washed Slim Fit Jeans,4.61E+11,https://assets.ajio.com/medias/sys_master/root/20200924/OcRb/5f6b960baeb269d563c9801d/-286Wx359H-460733303-blue-MODEL.jpg,Men,660,"1,999",blue
https://www.ajio.com/performax-colourblock-crew-neck-t-shirt/p/441134785_jetblack,performax,Colourblock Crew-Neck T-shirt,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20220427/1HgM/62685c8bf997dd03e2840732/-286Wx359H-441134785-jetblack-MODEL.jpg,Men,449,599,jetblack
https://www.ajio.com/the-indian-garage-co-printed-slim-fit-shirt-with-patch-pocket/p/460698954_white,the-indian-garage-co,Printed Slim Fit Shirt with Patch Pocket,4.61E+11,https://assets.ajio.com/medias/sys_master/root/20210316/cO4f/604fae917cdb8c1f14632f54/-286Wx359H-460698954-white-MODEL.jpg,Men,490,"1,749",white
https://www.ajio.com/levis-512-light-washed-slim-tapered-fit-jeans/p/469100653_black,levis,512 Light-Washed Slim Tapered Fit Jeans,4.69E+11,https://assets.ajio.com/medias/sys_master/root/20220311/aT4S/622a596aaeb26921afd25ce0/-286Wx359H-469100653-black-MODEL.jpg,Men,"2,811","3,699",black
https://www.ajio.com/superdry-training-core-sport-joggers-with-insert-pockets/p/410277546_02a,superdry,Training Core Sport Joggers with Insert Pockets,4.10E+11,https://assets.ajio.com/medias/sys_master/root/20210309/XKsP/6046be43aeb26969817c60c0/-286Wx359H-410277546-02a-MODEL.jpg,Men,"2,599","4,999",02a
https://www.ajio.com/teamspirit-striped-crew-neck-t-shirt/p/441119689_blue,teamspirit,Striped Crew-Neck T-shirt,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210316/gsVL/604faf80f997dd5c401152d1/-286Wx359H-441119689-blue-MODEL.jpg,Men,245,499,blue
https://www.ajio.com/netplay-solid-cotton-polo-t-shirt/p/441024764_black,netplay,Solid Cotton Polo T-shirt,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20220531/2jLA/62957b6baeb26921affa7068/-286Wx359H-441024764-black-MODEL.jpg,Men,559,699,black
https://www.ajio.com/netplay-striped-polo-t-shirt-with-contrast-tipping/p/441137363_blue,netplay,Striped Polo T-shirt with Contrast Tipping,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20220322/pSit/6238d6feaeb26921afe959ca/-286Wx359H-441137363-blue-MODEL.jpg,Men,559,699,blue
https://www.ajio.com/netplay-striped-shirt-with-band-collar/p/441119301_khaki,netplay,Striped Shirt with Band Collar,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210316/aQFL/604fb4a97cdb8c1f14633d99/-286Wx359H-441119301-khaki-MODEL.jpg,Men,599,999,khaki
https://www.ajio.com/performax-fastdry-active-polo-t-shirt/p/441135449_darkblue,performax,Fastdry Active Polo T-shirt,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20211210/OTgq/61b35b9eaeb269011007dec5/-286Wx359H-441135449-darkblue-MODEL.jpg,Men,559,799,darkblue
https://www.ajio.com/lee-cooper-mid-rise-washed-slim-fit-jeans/p/441192130_indigo,lee-cooper,Mid-Rise Washed Slim Fit Jeans,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20211009/Zkz6/61610103aeb2692b85bef827/-286Wx359H-441192130-indigo-MODEL.jpg,Men,784,"1,599",indigo
https://www.ajio.com/netplay-striped-cotton-shirt-with-patch-pocket/p/441123871_red,netplay,Striped Cotton Shirt with Patch Pocket,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210831/zxqo/612d3e2b7cdb8cb8240daf79/-286Wx359H-441123871-red-MODEL.jpg,Men,490,999,red
https://www.ajio.com/dnmx-heathered-crew-neck-full-sleeves-sweatshirt/p/441123697_blue,dnmx,Heathered Crew-Neck Full Sleeves Sweatshirt,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210824/lDIh/61240907aeb269a2687b086a/-286Wx359H-441123697-blue-MODEL.jpg,Men,450,899,blue
https://www.ajio.com/teamspirit-varsity-waffle-crew-neck-t-shirt/p/441118460_navy,teamspirit,Varsity Waffle Crew-Neck T-shirt,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210316/MXDx/604fac35aeb2696981863c22/-286Wx359H-441118460-navy-MODEL.jpg,Men,343,699,navy
